student_id,student_name,grade,school_name,reading_score,math_score,school_type
11992932,James Perry,9th,Montgomery High School,88.2,74.7,Public
93773124,Devon Casey,11th,Richard High School,80.7,85.2,Charter
78582819,Devin White,9th,Turner High School,58.4,,Public
40100300,Lisa Sanders,11th,Turner High School,62,,Public
105897480,Richard Burke,12th,Fisher High School,83.6,,Public
112807175,Gina Gordon,11th,Fisher High School,78.1,65.7,Public
71128131,Michael Blackwell,9th,Chang High School,88.4,78.6,Public
30319033,Toni Banks,11th,Richard High School,82.6,64.1,Charter
94336447,Cory Hodges,10th,Turner High School,55.1,,Public
72001862,Jo Davis,11th,Turner High School,68.1,73.6,Public
47230684,Richard Romero,11th,Fisher High School,80.2,,Public
77820459,Melanie Sullivan,12th,Wagner High School,73.8,68.2,Public
52359945,Matthew Cook,10th,Turner High School,78,73.4,Public
35441074,Christopher Oliver,9th,Silva High School,58.3,48.3,Public
80429342,Mark Brown,12th,Odonnell High School,33.4,88.3,Public
39281599,Lori Davis,10th,Richard High School,77,58.2,Charter
32618842,Virginia Harris,9th,Turner High School,94,89.8,Public
55591836,Scott Roberson,9th,Turner High School,91,65.2,Public
88651950,John Stewart,10th,Fisher High School,85.9,65.2,Public
52308792,Yolanda Lynch,11th,Richard High School,74.3,68.4,Charter
41599910,Tyler Stevens,9th,Turner High School,49.8,63.6,Public
104760741,Emily Chavez,12th,Turner High School,38.5,66.7,Public
46191258,Kimberly Smith,9th,Sullivan High School,72.9,72.5,Public
33613590,Joseph Villa,11th,Turner High School,90.4,55.5,Public
94225477,Paul Choi,12th,Fisher High School,76.6,60.2,Public
90436215,Christian Ramirez,12th,Fisher High School,78.2,37.6,Public
43971549,Michael Richards,12th,Turner High School,67.5,58.1,Public
10158913,Jennifer Johnson,9th,Green High School,88.7,98.4,Public
53688770,Alexandra Greene,12th,Chang High School,58.6,83.6,Public
112541321,Carla Tucker,11th,Turner High School,71.3,54.5,Public
34815915,Jasmine Mcclain,11th,Fisher High School,88.2,41.2,Public
16474617,Craig Miranda,10th,Silva High School,95,79.4,Public
126376391,Jackie Nicholson,9th,Montgomery High School,89.2,92.1,Public
93209494,Kimberly Huerta,11th,Fisher High School,82.2,44.7,Public
86983112,Valerie Washington,10th,Turner High School,67.6,66.5,Public
39818218,Julie Barber,12th,Montgomery High School,50.5,71.1,Public
91723778,Brian Baker,11th,Richard High School,85.8,66.4,Charter
45246256,Joseph Hayes,11th,Silva High School,83.6,63.9,Public
128360813,Wesley Brandt,12th,Sullivan High School,84.2,53,Public
17183295,Terry Lee,11th,Bowers High School,71.8,60.8,Public
76842234,Jesse Ayers,11th,Turner High School,90.7,44.6,Public
35662727,Beverly Lozano,9th,Richard High School,71.3,58.5,Charter
84715829,Derek Wiggins,11th,Turner High School,82.5,56.9,Public
73940676,David Kim,10th,Fisher High School,83.1,58.1,Public
72106453,Deborah Davis,11th,Fisher High School,,61.3,Public
80021672,Travis Green,10th,Fisher High School,,68.9,Public
41079126,Jonathan Simmons,11th,Turner High School,93.3,27.8,Public
60214852,Justin Morris,9th,Montgomery High School,81.6,54.8,Public
117290101,Grant Watson,12th,Richard High School,,71.9,Charter
68537023,Stephen Diaz,11th,Odonnell High School,62.6,21.1,Public
123789716,Ana Wood,9th,Turner High School,,86.6,Public
109061568,David Rosales,11th,Richard High School,78,72.6,Charter
36149252,David Powers,9th,Turner High School,90.8,67.1,Public
51261322,Michael Hill,10th,Richard High School,84.3,51.6,Charter
64881456,Nicholas Jordan,9th,Woods High School,96.7,43.3,Public
41669196,Stacy Maxwell,11th,Silva High School,95.6,57.3,Public
15130091,Lindsey Hansen,10th,Fisher High School,70.2,56.4,Public
105221195,Nicholas Romero,11th,Chang High School,82.5,75.5,Public
91986696,Tracy Mcintosh,9th,Montgomery High School,74.4,59.4,Public
10152647,Yesenia Ramirez,11th,Green High School,90.6,42.7,Public
68820565,Sandra Washington,11th,Turner High School,62.9,74.3,Public
109164096,Nathan Mendoza,9th,Montgomery High School,96.4,63.8,Public
115658509,Michael Martinez,10th,Campbell High School,91,62.8,Public
28988308,Thomas Morales,12th,Montgomery High School,66.3,37.7,Public
16364620,Tyler Livingston,9th,Green High School,,51.3,Public
18092754,Elizabeth Miller,12th,Fisher High School,81.8,45.4,Public
13780692,Steven Greer,11th,Fisher High School,84.9,43.2,Public
114104083,Karen Graves,12th,Fisher High School,,57.3,Public
113473786,Jonathon Davis,11th,Turner High School,70.1,51.6,Public
126554650,Rita Rivers,11th,Richard High School,80.7,45.8,Charter
74915765,Edward Sawyer,11th,Fisher High School,24.2,56.7,Public
40093064,Janet Perez,11th,Chang High School,79.2,91.5,Public
114950101,Alexander Taylor,11th,Bowers High School,69.3,65,Public
121443258,Michael Drake,9th,Fisher High School,84.8,54.1,Public
60607058,Heather Moreno,11th,Silva High School,,68.2,Public
117639571,Joseph Cruz,10th,Fisher High School,,63.9,Public
51248594,Tanner Garcia,12th,Turner High School,74.5,45.9,Public
42976574,Nancy Hess,11th,Richard High School,79.4,47,Charter
98589708,Kayla Paul,11th,Silva High School,,,Public
69154502,James Kim,11th,Chang High School,79,61.9,Public
40370208,Jodi Young,11th,Richard High School,72.8,50.4,Charter
69254884,Timothy Gonzales,11th,Turner High School,85.7,26.3,Public
57689526,David Pitts,9th,Montgomery High School,,36.8,Public
81473669,Anthony Sanchez,11th,Fisher High School,73.4,33.8,Public
86249380,Carla Morris,9th,Turner High School,50.5,68.3,Public
55151988,Ian Morgan,12th,Chang High School,73.6,69.8,Public
59522636,Christopher Nunez,11th,Chang High School,76.1,77.9,Public
22161516,Eric Jones,9th,Turner High School,70.7,71.4,Public
27458473,Amanda Bright,11th,Turner High School,82.7,47.8,Public
69286030,Nathan Mclaughlin,11th,Bowers High School,64.7,60.1,Public
20426169,Elizabeth Patterson,11th,Fisher High School,88.1,46.6,Public
47949593,Lisa Jones,11th,Chang High School,89,51.5,Public
123426451,Mark Gonzalez,12th,Silva High School,47.5,81.2,Public
24960689,Charlene Davis,11th,Silva High School,97.1,,Public
60219019,Elizabeth Parker,12th,Turner High School,,61.9,Public
41975550,Frank Bell,9th,Turner High School,88.6,76.4,Public
34484809,Tara Bautista,11th,Turner High School,,56.6,Public
119084535,Kelsey Moore,10th,Wagner High School,87.7,52.1,Public
38676749,Paul Schwartz,11th,Fisher High School,73.8,49.5,Public
92257926,Anthony Cruz,11th,Fisher High School,81.6,56.9,Public
79991645,Michael Camacho,12th,Odonnell High School,91.8,52.3,Public
106813832,Alexis Norton,11th,Turner High School,,57.3,Public
40702805,Amy Wyatt,12th,Fisher High School,81,69,Public
65570944,William Stevenson,12th,Montgomery High School,50.6,52.2,Public
17343776,Richard Harris,10th,Fisher High School,56.2,69.1,Public
62588463,Julia Tucker,9th,Chang High School,69.9,94.1,Public
31551010,Derrick Valdez,10th,Fisher High School,75.4,44.7,Public
82330633,Natalie Wright,9th,Turner High School,95.8,42.6,Public
40955429,Willie Adams,11th,Bowers High School,71.6,88.5,Public
62508317,Kristina Wright,10th,Fisher High School,62.6,75.7,Public
13453233,Tammie Montoya,11th,Wagner High School,,75.9,Public
123414340,Paul Morris,11th,Fisher High School,71.5,59.7,Public
13365994,Justin Patrick,12th,Green High School,69.2,42,Public
120374535,Lauren Brown,12th,Fisher High School,68.5,62.3,Public
124068805,Sarah Lopez,12th,Turner High School,58.3,81.1,Public
16148642,Samuel Stephenson,9th,Chang High School,88.7,58.7,Public
116827287,Kelsey Jones,12th,Montgomery High School,55.8,64.9,Public
40221438,Stephanie Velez,12th,Turner High School,71.4,60.3,Public
91259446,Amy Simpson,11th,Turner High School,88.5,57.2,Public
32424861,Robert Anderson,12th,Fisher High School,80.1,40.5,Public
87111967,William Johnson,9th,Turner High School,82.8,73.2,Public
14772968,Jonathan Lane,11th,Fisher High School,81.4,,Public
25152522,Michelle Hernandez,9th,Green High School,77.5,76,Public
52069594,Kent Russell,11th,Richard High School,87.8,63.5,Charter
67245222,Tina Roberts,12th,Bowers High School,87.5,81.5,Public
88936316,Tracey White,11th,Fisher High School,93.5,66.2,Public
62491071,Thomas Hart,12th,Green High School,52.3,68.9,Public
77658391,Matthew Fernandez,10th,Turner High School,71.5,73.9,Public
14787270,Zachary Rogers,11th,Campos High School,,82,Public
77654887,Jeff Lee II,12th,Chang High School,56.7,69.6,Public
95908243,Cynthia Franklin,9th,Turner High School,60.5,90.1,Public
60102854,Jean Sanchez,12th,Turner High School,70.5,56.7,Public
49219742,Daniel Cohen,10th,Richard High School,91.4,54,Charter
110630140,Steven Cook,9th,Montgomery High School,82.3,42.2,Public
101680086,Rebecca Cameron,12th,Fisher High School,81,59.1,Public
45391363,Mark Fuller,10th,Richard High School,53.5,39.3,Charter
97966979,Victoria Jacobs,10th,Campos High School,83.8,88.2,Public
99108395,Yesenia Mahoney,12th,Chang High School,69.1,80,Public
65168343,Jessica Sanchez,12th,Fisher High School,77.6,61.8,Public
60788689,Nicole Warner,9th,Chang High School,91.7,,Public
32903146,Crystal Graham,12th,Richard High School,96.3,78.7,Charter
61747182,David Thomas,9th,Turner High School,77.8,67.1,Public
52756195,Thomas Brown,12th,Green High School,74.7,,Public
49036255,Christopher Davis,11th,Fisher High School,47.8,49.2,Public
111115363,John Davidson,12th,Turner High School,62.2,71.2,Public
109565200,Haley Smith,12th,Montgomery High School,69.9,65.1,Public
18544079,Eileen Davidson,12th,Campbell High School,92.3,57.6,Public
114950871,Elizabeth Cole,12th,Fisher High School,70.1,39.4,Public
62403373,Ashley Davis,12th,Turner High School,41.2,45.1,Public
43377172,Deanna Bowers,9th,Fisher High School,70.5,64.5,Public
126889040,Charles Liu,12th,Turner High School,23.4,33.4,Public
47171853,Christine Boyle,9th,Chang High School,79.2,93.7,Public
27025738,Jacob Pierce,12th,Campbell High School,73.5,76.7,Public
60533070,Amanda Cooper,9th,Woods High School,68.9,43.2,Public
64718477,Kelly Lee,9th,Campos High School,81.2,60.4,Public
90441527,Natalie Perez,9th,Fisher High School,99.1,76.2,Public
105418131,Michael Chen,9th,Montgomery High School,92.6,62.2,Public
89632305,Lauren Morgan,12th,Green High School,49.7,29.1,Public
35259240,Bryan Mcintosh Jr.,12th,Chang High School,83.9,60.6,Public
31001942,Harold Malone,12th,Silva High School,64,72.3,Public
22380371,Jessica Diaz,9th,Turner High School,37.5,93.6,Public
54434525,Donna Willis,12th,Silva High School,,78.8,Public
82337458,James Maxwell,12th,Green High School,92.5,27.9,Public
129762889,Warren Cortez,12th,Richard High School,64.7,89,Charter
75027306,Elizabeth Montoya,9th,Chang High School,71.7,,Public
58027213,Kara Quinn,10th,Richard High School,90.6,46.3,Charter
65343320,Brett Adams,10th,Campbell High School,77.1,84.5,Public
58186950,Cheryl Walls,10th,Fisher High School,62.4,55.9,Public
19293167,Matthew Kirby,10th,Campos High School,89.6,59.6,Public
56887581,Janice Whitehead,9th,Turner High School,79.9,77.3,Public
107772231,Mark Mitchell,11th,Campos High School,73.8,76,Public
109418108,Deborah Griffith,11th,Turner High School,79.4,48.9,Public
86188250,Brandi Goodman,11th,Chang High School,86.1,83,Public
124141926,Megan Oneill,10th,Campbell High School,,78.2,Public
21883523,Steven Rodriguez,9th,Campbell High School,85.8,72.5,Public
61512650,Traci Andersen,10th,Turner High School,49.4,81.8,Public
72676242,Eric Martinez,12th,Fisher High School,99.5,56,Public
69459854,Cheyenne Tanner,10th,Campbell High School,,46.2,Public
79216265,Dennis Hernandez,10th,Dixon High School,43,78.5,Charter
35258542,Frank Watson,10th,Fisher High School,99.6,64.6,Public
17183295,Terry Lee,11th,Bowers High School,71.8,60.8,Public
127250212,Ernest Stanley,11th,Campos High School,61.1,67.8,Public
43458282,David Davis,11th,Richard High School,,62.5,Charter
98719002,Gregory Brown,12th,Richard High School,96.1,73,Charter
53268572,Diane Evans,12th,Fisher High School,73.3,,Public
106596641,Tracy Herrera,11th,Turner High School,91.1,91.4,Public
75028075,Anthony Keller,11th,Campos High School,,71.5,Public
71149602,Courtney Brown,10th,Fisher High School,74.7,,Public
64660994,Jerry Ross,11th,Fisher High School,71.1,60,Public
42641333,Julia Moreno,11th,Odonnell High School,64.8,89.8,Public
44769077,Scott Cobb,12th,Chang High School,62.5,64.9,Public
99082550,Linda Huber,12th,Dixon High School,94.1,61.5,Charter
62393616,Robert Garza,11th,Richard High School,84.8,,Charter
117087673,Jennifer Bullock,12th,Turner High School,69,52.6,Public
11348188,Tracey Hahn,12th,Campbell High School,67.9,93.8,Public
79489034,Adam Wood,10th,Campbell High School,81,37.8,Public
67562251,James Todd,10th,Campbell High School,87.1,48.6,Public
44232096,Andrea Shelton,9th,Richard High School,72.7,70,Charter
102516528,Anthony Mcfarland Jr.,10th,Fisher High School,,59.9,Public
17873107,Mark Chandler,10th,Campbell High School,97.4,59.2,Public
124614505,Joshua Ortiz,10th,Fisher High School,85.5,45,Public
100272220,Ashley Estrada,10th,Odonnell High School,59.5,92.6,Public
58220845,Angela Sloan,11th,Fisher High School,70.4,59.9,Public
91172730,Elizabeth Aguilar,11th,Green High School,75.1,81.2,Public
58377015,Christopher Stewart,11th,Chang High School,96.4,53.5,Public
66514572,Roger Yang,11th,Silva High School,85.9,,Public
112089582,Kimberly Hall,9th,Green High School,78.1,41.9,Public
57237910,Gary Brown,11th,Turner High School,63.7,78.2,Public
77834458,Jose Simpson,12th,Green High School,59.1,,Public
121657002,Zachary King,9th,Richard High School,57,41.7,Charter
114274696,Julie Mcdaniel,9th,Montgomery High School,90.9,81.1,Public
57092689,Deborah Taylor,9th,Montgomery High School,97.1,76,Public
89899148,Richard Weiss,10th,Turner High School,56.3,76.1,Public
21399059,Ronald Franklin,11th,Richard High School,74.1,58.5,Charter
21523346,Mike Smith,12th,Green High School,63,87.1,Public
83324499,Andrew Woodward,11th,Turner High School,89.7,78.6,Public
39869872,Timothy Arellano,12th,Montgomery High School,79,67.3,Public
16828975,Evan Carrillo,10th,Campbell High School,82.8,60.5,Public
53774532,Denise Hodges,10th,Montgomery High School,89.4,81.7,Public
85214727,Kathryn Romero,12th,Chang High School,73.1,82.2,Public
47132135,Teresa Walter,12th,Chang High School,62.8,71.5,Public
117645905,Daniel Cole,10th,Green High School,47.4,87.2,Public
17734356,Nicholas Russell,11th,Green High School,46,54.5,Public
90540583,Cheryl Thomas,11th,Fisher High School,98.3,53.8,Public
98553132,Brian Velez,11th,Odonnell High School,98.4,59.4,Public
12320396,Heather Frank,9th,Fisher High School,92.8,82.3,Public
120534414,Katherine Thomas,12th,Montgomery High School,78.3,63.7,Public
30493580,Heather Porter,10th,Fisher High School,,58.4,Public
88526645,Heather Harper,9th,Wagner High School,27.6,89.4,Public
28318046,Aaron Carter,12th,Chang High School,65.9,52.2,Public
76496677,Drew Horn,12th,Richard High School,,75.3,Charter
23811810,Alexandra Boyle,11th,Richard High School,98.5,41.4,Charter
89136898,Matthew Davis,10th,Green High School,45.8,45.8,Public
79085124,James Watson,11th,Turner High School,60.5,45,Public
120026207,Robert Hubbard,9th,Fisher High School,81.2,,Public
30045103,Jessica Torres,10th,Fisher High School,,62.7,Public
104189584,Matthew Richmond,9th,Turner High School,,97.1,Public
86496120,Edward Reed,10th,Sullivan High School,69,50.9,Public
87747522,Kelly Fisher,12th,Turner High School,82.5,63.7,Public
92801356,Timothy Salazar,10th,Campbell High School,59,58.6,Public
43113967,Louis Krause,11th,Turner High School,64,75.8,Public
75654533,Sandy Becker,12th,Silva High School,64.7,,Public
101568535,Michael Moody,12th,Chang High School,59.3,78.5,Public
15869472,Danielle Rodriguez,11th,Campbell High School,63.6,68.3,Public
118436511,Jeffrey Harmon,12th,Montgomery High School,63,93,Public
97170972,Andrea Green,11th,Chang High School,,69.1,Public
85186994,Caleb Smith,12th,Campbell High School,30.8,78.2,Public
23726497,William Livingston,9th,Turner High School,65.1,77.7,Public
65691519,Joseph Rodriguez,12th,Wagner High School,74.7,54.9,Public
38906901,Mitchell Reed,12th,Turner High School,66,67,Public
39309170,Jessica Barry,12th,Fisher High School,74,72.9,Public
49641394,Chelsea Serrano,9th,Turner High School,56.9,70,Public
77468329,Linda Novak,12th,Turner High School,72.4,32.9,Public
32399514,Kyle Lawrence,10th,Sullivan High School,69.2,41,Public
62204200,Douglas Brown,10th,Woods High School,38.5,67.8,Public
12057494,Mark Short,11th,Richard High School,62.6,56.9,Charter
25251452,Carla Davis,9th,Turner High School,82.9,71.7,Public
32429581,Valerie Mitchell,12th,Chang High School,,98.7,Public
118434500,David Page,10th,Montgomery High School,89.7,75.7,Public
11082114,Kristen Gutierrez,12th,Montgomery High School,59.9,,Public
108301083,Eileen Ramirez,11th,Dixon High School,87.1,71.3,Charter
67260155,Richard Holmes,11th,Campos High School,65.7,70.1,Public
109587275,Kelly Hall,9th,Fisher High School,81.3,77.2,Public
90424670,Gabriel Mason,12th,Fisher High School,93.8,53.6,Public
89666041,Scott Flores,10th,Richard High School,90.3,50,Charter
104682641,Sarah Cantrell,10th,Odonnell High School,,83.4,Public
31782106,Mary Dalton,11th,Silva High School,68,94.1,Public
54582192,Terri Edwards,12th,Chang High School,71.6,58.7,Public
116116985,Ashley Rose,9th,Chang High School,74.2,74.9,Public
17070489,Frank Aguirre,11th,Chang High School,85.4,80.5,Public
64959249,Samuel Hall,12th,Turner High School,64.9,55.6,Public
38533235,Rachel Lopez,10th,Richard High School,60.4,48.9,Charter
109886879,Jill Lewis,12th,Fisher High School,,67.6,Public
75348823,Jason Boone,11th,Turner High School,63,76.5,Public
37218946,Nancy Nguyen,12th,Richard High School,,54.8,Charter
51991977,Mark Black,9th,Campos High School,73.5,34.5,Public
121451570,Christine Russell,9th,Fisher High School,87.3,41.5,Public
36461037,Tamara Mendez,10th,Campbell High School,97.4,92.4,Public
81530175,Dominique Gilbert,10th,Bowers High School,39.2,71.7,Public
33267328,Jonathan Ross,10th,Montgomery High School,80.7,83.9,Public
47674703,Angela Brown,9th,Montgomery High School,88.9,92.8,Public
99345792,Rachel Brown,11th,Woods High School,90.9,64.4,Public
33505417,Tina Austin,10th,Campbell High School,98.5,88.8,Public
97278670,Julie Wilson,10th,Fisher High School,81.6,67.6,Public
117513930,Jason Henderson,11th,Fisher High School,69.6,37.1,Public
103301143,Diana Becker,11th,Bowers High School,88.3,25.8,Public
84057066,Renee Cook,9th,Fisher High School,92.8,61.7,Public
33781901,Ashley Sims,12th,Campbell High School,61.4,91.7,Public
99264297,Michael Beasley,10th,Montgomery High School,91.2,65.1,Public
82335418,Michael Brown,10th,Wagner High School,64.4,85.4,Public
37829380,Ricky Cox,9th,Montgomery High School,81,47.8,Public
24531319,Alexis Hammond,11th,Chang High School,70.6,95.6,Public
74175288,Destiny Hernandez,9th,Chang High School,70.8,72.5,Public
42996224,Barbara Sims,9th,Fisher High School,89.3,80.7,Public
31364582,Melissa Santana,12th,Chang High School,57.4,87.9,Public
105265999,Gina Morales,12th,Montgomery High School,83.3,47,Public
61254183,Shannon Brooks,11th,Fisher High School,82.4,,Public
57489836,Mary Rodgers,10th,Fisher High School,61.9,46.7,Public
74921940,Omar Olson,12th,Turner High School,68,53.4,Public
128117422,Kathleen Harding,12th,Fisher High School,68.5,57.1,Public
48369208,Shannon Steele,10th,Fisher High School,84.1,42,Public
126306989,Riley Johnson,10th,Richard High School,,48.3,Charter
78758423,Jamie Greene,12th,Turner High School,64.3,42.6,Public
11444529,Megan Williams,10th,Montgomery High School,84.7,58.2,Public
22407047,Barbara Gonzalez,10th,Odonnell High School,,71.4,Public
15190811,Nicole Johnson,10th,Richard High School,85.8,78,Charter
10586158,Anita Jones,10th,Campos High School,55.7,93.3,Public
71267173,Johnny Chapman,11th,Chang High School,91,80.6,Public
93218003,Christopher Burns,12th,Fisher High School,75.1,23.2,Public
38648382,Elizabeth Green,10th,Turner High School,72.1,48.4,Public
69724864,Johnny Ward,11th,Bowers High School,84.1,54.1,Public
23087259,William Weber,9th,Turner High School,,78.5,Public
119948875,Helen Conley,11th,Richard High School,55.4,49.7,Charter
93996901,Cynthia Tanner,10th,Campbell High School,77.9,52,Public
40793393,Andrew Rodriguez,11th,Richard High School,80.4,47.8,Charter
105830492,Amber Miller,12th,Dixon High School,84.7,66.8,Charter
21152937,Cassandra Johnson,10th,Campos High School,54.7,63.8,Public
116923246,Nathan Hubbard,12th,Silva High School,,58.1,Public
48341653,Monica Stewart,11th,Silva High School,99.9,57.8,Public
50488216,Kurt Stevens,10th,Fisher High School,73.6,40.2,Public
33521006,Sharon Wilson,11th,Silva High School,89.6,42.9,Public
111843088,Stephen Perkins,9th,Campbell High School,74.5,92.1,Public
65158625,Amanda Olson,9th,Bowers High School,47.6,55.5,Public
12297092,Christine Garcia,12th,Turner High School,40.7,61.3,Public
17585615,Kimberly Ramirez,12th,Campbell High School,,66.8,Public
20812100,Brian Spears,9th,Chang High School,80,82.3,Public
54522628,Jennifer Mata,12th,Fisher High School,82.7,75.5,Public
111924091,Jennifer Miranda,9th,Montgomery High School,76.1,52,Public
37860093,Amy Schwartz,12th,Campbell High School,66.6,83.5,Public
29247912,Julie Copeland,9th,Campos High School,82.1,61.9,Public
39019059,Lori Holland,12th,Turner High School,50,39.8,Public
72307935,Mary Owen,11th,Turner High School,82.3,30.7,Public
30895793,Ruth Morgan,11th,Dixon High School,,68.6,Charter
60766685,Thomas Baker,12th,Richard High School,47.4,75.6,Charter
117737114,Jamie Smith,11th,Turner High School,70.6,70.7,Public
98466876,Troy Clark,12th,Campbell High School,65.4,81.3,Public
47231191,Mark Bailey,9th,Montgomery High School,97.6,71.6,Public
109426323,Patrick Tapia,12th,Campos High School,54.5,56.1,Public
73790350,Michael Moody,10th,Campbell High School,59,48.6,Public
40360098,Brandi Simon,10th,Richard High School,78.7,43.1,Charter
85799585,Ryan Austin,11th,Fisher High School,29.3,46.4,Public
96470259,Darrell Hall,10th,Richard High School,60,61.9,Charter
73611646,Molly Hanson,12th,Bowers High School,53.1,29.9,Public
14067547,Tammy Hatfield,9th,Silva High School,89.9,47.7,Public
37840929,Thomas Dennis,9th,Odonnell High School,81.9,64.2,Public
118222725,Jose Palmer,10th,Campbell High School,91.1,61.9,Public
112841555,Brandy Cook,11th,Fisher High School,83.8,50.2,Public
15073352,Paul Moore,12th,Fisher High School,69.3,78.3,Public
93931872,Rachel Thomas,10th,Silva High School,74.8,83.1,Public
101040309,Kathleen Powell,12th,Fisher High School,80,48.5,Public
13680349,Rhonda Cortez,10th,Campbell High School,98.6,94,Public
50361553,Victoria Hernandez,10th,Campos High School,,70.2,Public
82706872,Gary Harrison,12th,Richard High School,70.9,75.5,Charter
126384066,Daniel Berry,11th,Wagner High School,78.7,65.7,Public
45817410,Eileen Cohen,12th,Fisher High School,82.4,,Public
105503211,Lauren Rodriguez,11th,Campos High School,51.9,76.4,Public
121196932,Krystal Garcia,12th,Richard High School,62.9,93.6,Charter
